Title,Content,Date
Petronas SRT's Quartararo gets '19 MotoGP bike in Yamaha U-turn,"MotoGP rookie Fabio Quartararo has been upgraded to a 2019-spec Yamaha for 
 his debut premier class season with the newly-formed Petronas SRT outfit.",6 Feb 2019
Pasukan MotoGP tuan rumah peroleh data berharga di litar Sepang,"Pelumba Petronas Yamaha Sepang Racing Team (Petronas Yamaha SRT) memperoleh 
 data berharga pada sesi ujian pertama di laman sendiri pada Rabu. - Gambar 
 Fail.",6 Feb 2019
Looking for more sustainable way to benefit off Petronas,"This largely explains how Petronas continues to build its cash pile, which 
 is further boosted by its share of profits from the oil companies' 
 production in ...",7 Feb 2019
Mercedes AMG Petronas Motorsport Links Up With Cyber ...,"Mercedes AMG Petronas Motorsport have linked up with CrowdStrike®Inc. ahead 
 of the 2019 FIA Formula 1 World Championship. The partnership will help 
 protect ...",7 Feb 2019
Top 10 a good start for Petronas Yamaha - Morbidelli,"Petronas Yamaha ends positive first MotoGP test of 2019 inside the top 10 
 as Franco Morbidelli makes progress. By Lewis Larkam. Sat, 9 Feb 2019. 
 Share: 0.",9 Feb 2019
"Ducati: Sechs MotoGP-Fahrer, nur noch zwei Modelle","Inzwischen hat sich das Ángel Nieto-Team aus der MotoGP-Klasse 
 zurückgezogen, die beiden Startplätze hat Petronas-Yamaha übernommen.",10 Feb 2019
PM Mahathir confers lifetime achievement award at Petronas SIC-MAM Awards,"""On behalf of Petronas, we would like to congratulate Tun Dr Mahathir 
 Mohamad on the conferment of the Lifetime Achievement Award for his 
 continuous support ...",12 Feb 2019
Rowan executes contract with Petronas Mexico for Rowan ...,"Following the initial contract term, Petronas has a one-well priced option 
 with an estimated duration of 80 days. The Rowan Renaissance is currently 
 under ...",13 Feb 2019
Petronas group CEO named among 100 best global brand ...,"Petroliam Nasional Bhd (Petronas) president and group chief executive 
 officer Wan Zulkiflee Wan Ariffin has made it to the list of 100 best 
 global Brand ...",15 Feb 2019
Petronas' Wan Zulkiflee ranks #95 in best global Brand Guardians list,"NSTP picture by AZHAR RAMLI. KUALA LUMPUR: Petroliam Nasional Bhd 
 (Petronas) president and chief executive officer Tan Sri Wan Zulkiflee Wan 
 Ariffin has made ...",15 Feb 2019
CEO PETRONAS disenarai 100 Penjaga Jenama terbaik global,"KUALA LUMPUR: Presiden dan Ketua Pegawai Eksekutif (CEO) Kumpulan PETRONAS, 
 Tan Sri Wan Zulkiflee Wan Ariffin disenaraikan sebagai 100 Penjaga 
 Jenama ...",15 Feb 2019
Petronas CEO makes it to 2019 Brand Guardians list,"KUALA LUMPUR: Brand Finance has included Petronas president and group CEO 
 Tan Sri Wan Zulkiflee Wan Ariffin (pic), for the first time, into its list 
 of the ...",16 Feb 2019
Petronas Gas FY18 net profit weighed by Kimanis Power,"Petronas Gas said on Monday the losses from Kimanis Power were due to a 
 de-recognition of deferred tax assets (DTA) in relation to certain tax 
 benefits ...",18 Feb 2019
CM: Sabah-Petronas cooperation vital to create jobs for ...,"TAWAU: It is vital for the cooperation between Petronas and the Sabah 
 government to be maintained to ensure that the oil and gas sector in the 
 state can ...",18 Feb 2019
Keuntungan bersih 2018 Petronas Gas meningkat RM1.81b,"Petronas Gas berkata peningkatan keuntungan itu disokong oleh hasil tinggi 
 yang dicapai tetapi diimbangi oleh kerugian dalam Kimanis Power Sdn Bhd 
 (KPSB) ...",18 Feb 2019
Anak syarikat Deleum dapat kontrak Petronas Carigali,"... injap julangan gas dan peralatan pemasangan, aksesori dan servis 
 daripada Petronas Carigali Sdn Bhd yang juga anak syarikat milik penuh 
 PETRONAS.",18 Feb 2019
PETRONAS Lubricants International launches ETRO+ a ...,"PETRONAS Lubricants International (PLI) unveiled its unique base oil ETRO+, 
 the next evolution in Group III base oils. An improvement from the existing 
 ETRO ...",19 Feb 2019
"PETRONAS, JV temui lapangan gas terbesar di Indonesia","KUALA LUMPUR: PETRONAS dan rakan usaha samanya (JV), Repsol serta MOECO 
 berjaya membuat penemuan lapangan gas terbesar dalam tempoh 18 tahun di 
 blok ...",19 Feb 2019
"Yayasan PETRONAS sumbang wang tunai, barangan RM200,000 sempena Tahun 
 Baharu Cina","Sumbangan itu diberikan melalui program Sentuhan Kasih PETRONAS Tahun 
 Baharu Cina 2019, baru-baru ini, yang diadakan di Sarawak, diikuti Melaka, 
 Selangor, ...",19 Feb 2019
"Yayasan PETRONAS sumbang RM40,000 kepada Rumah Orang Tua GPPTK","KUANTAN: Yayasan PETRONAS menyampaikan sumbangan peralatan, hamper barangan 
 dan angpau berjumlah RM40,000 kepada Rumah Orang Tua Gabungan ...",19 Feb 2019
AZRB subsidiary bags RM150.5m worth of Petronas jobs in ...,"Besides the refurbishment and upgrading of the Petronas office and 
 operation complexes, AZRB said Ahmad Zaki Sdn Bhd will also construct a new 
 annex building ...",20 Feb 2019
Petronas integrity chief: Political appointees in GLCs fine - if ...,"KUALA LUMPUR: Political appointees in government-linked corporations (GLCs) 
 are acceptable – as long as there is transparency in the system, says 
 Petronas ...",21 Feb 2019
TRX office space to take a long time to achieve full occupancy ...,"""Petronas Twin Towers only reached full occupancy for the second tower with 
 total space of 1.25 million sq ft after 10 years. The first tower was 
 already pre- ...",21 Feb 2019
Petronas to focus on Group III+ base oils,"Petronas Lubricants International (PLI) is refocusing on Group III+ base 
 oils, and the business plans to expand its production despite longer-term 
 concerns ...",22 Feb 2019
Petronas teams up with more banks for financing solutions for ...,"KUALA LUMPUR (Feb 22): Petronas is collaborating with another five 
 financial institutions to provide financial solutions to Oil & Gas Services 
 and Equipment ...",23 Feb 2019
Fire at Petronas LNG Complex successfully extinguished ...,"File photo of the Petronas Bintulu Malaysia LNG Complex. BINTULU: A fire 
 broke out at the sea cooling water outfall channel, outside of the plant 
 processing ...",23 Feb 2019
Petronas Sprinta launches mobile service workshop - paultan ...,"Malaysian motorcyclists will find it easier to get their rides serviced 
 with the launch of the Petronas Sprinta mobile workshop. Touted as the 
 first of its ...",25 Feb 2019
Petronas Bintulu LNG project's output is said unaffected by fire,"22 fire at Petronas' Bintulu LNG complex in Malaysia had no immediate 
 impact on production, according to people with knowledge of the matter.",25 Feb 2019
Tukar minyak pelincir di bengkel bergerak,"PETRONAS Lubricants Marketing (Malaysia) Sdn Bhd, anak syarikat Petronas 
 Dagangan Berhad (PDB) memperkenalkan bengkel motosikal bergerak yang 
 pertama ...",25 Feb 2019
"Pertamina, Petronas sign MoU on business development","Jakarta, (ANTARA News) - PT Pertamina Persero and Petroliam Nasional Berhad 
 (Petronas) signed a memorandum of understanding (MoU) on the synergy to 
 develop ...",26 Feb 2019
Petronas rider Fabio clocks third fastest time in Qatar,"... posting the third fastest time for Petronas Yamaha Sepang Racing Team 
 during the final pre-season official testing at the Losail Circuit in Doha, 
 Qatar.",26 Feb 2019
Pertamina dan Petronas Kerja Sama Kembangkan Bisnis Migas,"TEMPO.CO, Jakarta - PT Pertamina (Persero) dan Petroliam Nasional Berhad 
 (Petronas) menandatangani nota kesepahaman dalam mengembangkan bisnis migas 
 serta ...",26 Feb 2019
PETRONAS Yamaha Sepang Racing catat keputusan positif di Losail,"KUALA LUMPUR: PETRONAS Yamaha Sepang Racing menamatkan sesi ujian rasmi 
 terakhir MotoGP dengan kedua-dua pelumbanya berada dalam kelompok 10 
 terbaik di ...",26 Feb 2019
PETRONAS Introduces New Trackside Fluid Engineer to ...,"Welcome to the Mercedes-AMG PETRONAS Motorsport family, Stephanie!"" 
 Technical partner since 2010, PETRONAS has co-engineered PETRONAS Primax 
 fuel, PETRONAS ...",28 Feb 2019
Petronas LNG floater heads to new home off Sabah,"Zamri Jusoh, the vice president of Malaysia Petroleum Management at state 
 energy giant Petronas, said the company's PFLNG ...",28 Feb 2019
Petronas’ new foundation to centralise CSR work,"Called Yayasan Petronas (YP), the launch of the foundation was officiated 
 by Deputy Prime Minister Datuk Seri Dr Wan Azizah Wan Ismail, and is meant 
 to deliver ...",1 Mar 2019
Ex-Petronas CFO Manharlal Ratilal joins Genting's board of ...,"Ratilal, 59, also known as George Ratilal, held the VP/CFO post in 
 Petronas, where he was also a member of the board and executive leadership 
 team — he also sat ...",1 Mar 2019
Pertamina Kaji Kerja Sama Olah Minyak Mentah dengan ...,"""Jadi yang kami jajaki, apakah bisa kami gunakan kilang Petronas olah untuk 
 CPD dari Malaysia. Jadi selain punya Pertamina yang ada di Malaysia, atau 
 kami ambil ...",1 Mar 2019
"More fuel stations in rural areas, fuel price difference to be ...","For the difference in prices, Chong made particular reference in Kapit 
 where petrol and diesel are sold nine sen higher by “another brand of oil” 
 (not Petronas) ...",3 Mar 2019
