Title,Content,Date
Petronas justifies Formula-1 spending,"Petronas president and group chief executive Datuk Wan Zulkiflee Wan 
 Ariffin said that its partnership with Mercedes-Benz and involvement in the 
 F1 championship ...",14 Sep 2016
Petronas will continue staffing policies,"Petronas will continue to recruit, rotate, develop and promote employees 
 based on their performance and qualities. Bernama. Fri Sep 16 2016.",16 Sep 2016
Wan Zul's mission to change Petronas,"For Petronas' president and chief executive Datuk Wan Zulkiflee Wan 
 Ariffin, the high-performance culture coupled with cutting-edge technology 
 at the ...",17 Sep 2016
F1 governing body to investigate marshal incident,"Nico Rosberg of Germany driving the (6) Mercedes AMG Petronas F1 Team 
 Mercedes F1 WO7 Mercedes PU106C Hybrid turbo past a marshal on track during 
 the ...",18 Sep 2016
Linde confirms JV gas facility with Petronas Gas in Pengerang,"Petronas Gas had announced the project a month ago, saying it will hold a 
 51% stake and Linde (M) Sdn Bhd the remaining 49%. In a statement today, 
 Linde said ...",19 Sep 2016
"Petronas says no budget, job cuts at HSSE department","KOTA TINGGI: National oil company Petroliam Nasional Bhd (Petronas) will 
 not cut the budget and manpower in its Health, Safety, Security and 
 Environment ...",19 Sep 2016
PETRONAS sedia peruntukan untuk HSSE,"KETUA HSSE Projek RAPID, Petronas Refinery and Petrochemical Corporation 
 (PRPC), Saifuddin Shah Sowkkatali. - Foto Hairul Anuar Abd Rahim.",19 Sep 2016
"Usaha sama Linde, PETRONAS Gas labur RM692.62 juta","Bahan berkenaan adalah untuk dibekalkan kepada kompleks penapisan skala 
 dunia PETRONAS dan Kompleks Petrokimia Bersepadu (RAPID) di Pengerang, 
 Johor. PGS juga ...",19 Sep 2016
WSJ: Hundreds of Petronas employees to be laid off,"Hundreds of Petronas employees may have to look for new jobs soon, as the 
 national oil and gas firm is reported to be downsizing.",20 Sep 2016
Petronas lets contracts for Pengerang complex,"As part of long-term supply agreements with Petronas, Pengerang Gas 
 Solutions Sdn. Bhd. (PGS)—a joint venture of Linde AG subsidiary Linde 
 Malaysia Sdn. Bhd.",20 Sep 2016
Malaysian Energy Firm Petronas Plans Several Hundred More Job Cuts,"Petroliam Nasional Bhd., known as Petronas, is planning the job cuts at its 
 publicly listed operations, according to the people. The company, which 
 provides ...",20 Sep 2016
Pirelli reveal tyre selections for Malaysia,"Pirelli have revealed the individual tyre selections for each driver ahead 
 of the upcoming 2016 Formula 1 Petronas Malaysia Grand Prix.",20 Sep 2016
GSH launches its first condo project in KL,"The 52-storey Eaton Residences, with views of the Petronas Twin Towers and 
 the Royal Selangor Golf Course, will have 632 units.",21 Sep 2016
Nothing to See Here: Southeast Asia Flummoxed by Haze Study,"A general view shows Malaysia's landmark Petronas Twin Towers (2nd R) and 
 Kuala Lumpur Tower (L) as a layer of haze covers the city during sunset in 
 Kuala ...",21 Sep 2016
Canada review says Petronas plant would hit environment: sources,"OTTAWA (Reuters) - A Canadian review of a proposed Petronas-led liquefied 
 natural gas plant has found the project would have a significant 
 environmental ...",23 Sep 2016
"Lebih 5,000 sertai Orchid Fun Run & Ride PETRONITA","KETUA Pegawai Eksekutif Kumpulan Petronas, Datuk Seri Wan Zulkiflee Wan 
 Ariffin (kanan) mengagihkan bunga orchid sebagai tema larian sempena 
 majlis ...",25 Sep 2016
Dua kemudahan baharu menjelang F1 di Sepang,"LITAR Antarabangsa Sepang (SIC). SEPANG: Grand Prix (GP) Formula Satu (F1) 
 PETRONAS Malaysia akan menjadi acara terbesar pertama yang menggunakan dua 
 fasiliti ...",25 Sep 2016
"Lagi, Petronas pecat ratusan karyawan | merdeka.com","Merdeka.com - Tahun ini nampaknya bukan menjadi tahun yang baik bagi 
 Petroliam Nasional Bhd (Petronas). Sebab, perusahaan minyak dan gas (migas) 
 asal ...",26 Sep 2016
F1 Malaysian GP grid girls uniform by Nurita Harith - paultan.org,"The Petronas Formula 1 Malaysian Grand Prix will be happening this weekend, 
 and the title sponsor unveiled this year's grid girl attire on Saturday.",26 Sep 2016
Green light no guarantee that $36 billion LNG project a go,"If Malaysian energy giant Petroliam Nasional Berhad (Petronas) doesn't 
 already have a green light from the federal government for its $36 billion 
 Pacific ...",27 Sep 2016
Petronas Urania With ViscGuard Launched In India,"Petronas Lubricants International launches its commercial vehicle lubricant 
 (CVL), Urania with ViscGuard in India. The new range of diesel engine 
 lubricants ...",27 Sep 2016
Pertamina Bersiap Kalahkan Petronas Jadi Perusahaan Kelas Dunia,"Pertamina Bersiap Kalahkan Petronas Jadi Perusahaan Kelas Dunia. Nanang 
 Wijayanto. Selasa 27 September 2016 - 17:51 WIB. Pertamina Bersiap Kalahkan 
 Petronas ...",27 Sep 2016
